COD_LINEA_NEGOCIO;COD_PRODUCTO;DESC_PRODUCTO;COD_CURRICULO;DESC_CURRICULO;COD_CURSO;DESC_CURSO;DESC_ABRE_CURSO;clave;COD_DIRECCION;NOM_DIRECCION;COD_CURSO_ELEC;CICLO;CANT_CREDITOS;CANT_CREDEQUIV;FECHA_CREACION;USUARIO_CREACION;FECHA_MODIFICACION;USUARIO_MODIFICACION;TOTAL CRED;201901-41;201902-41;201902-43;202001-44;202001-45;202002-44;202002-45;Total de Habiles;201901-41;201902-41;201902-43;202001-44;202001-45;202002-44;202002-45;Total de matriculados;201901-41;201902-41;201902-43;202001-44;202001-45;Total Aprueban;201901-41;201902-41;201902-43;202001-44;202001-45;Total Desaprueban;201901-41;201902-41;201902-43;202001-44;202001-45;Total retiros;201901-41;201902-41;201902-43;202001-44;202001-45;Total promedio de nota
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN171;DIBUJO DE INGENIERÍA 2;DIBUJO DE INGENIERÍA 2;42IN171;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;03;3;0;2/05/2016;EDALVARE;10/05/2017;JAGUILAR;3;702;587;0;660;0;429;0;2378;559;443;0;558;0;296;0;1856;370;304;0;427;0;1101;189;139;0;131;0;459;53;50;0;82;0;185;13.30434783;13.38676845;;14.93487395;;13.87533007
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);MA469;ESTADÍSTICA APLICADA I;ESTADÍSTICA APLICADA I;42MA469;MA;CIENCIAS;OBLIGATORIO;03;4;0;2/05/2016;EDALVARE;;;4;727;656;13;0;0;0;0;1396;587;471;1;0;0;0;0;1059;321;344;0;0;0;665;266;127;1;0;0;394;74;79;1;0;0;154;12.51267057;14.44132653;;;;13.47699855
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);EF40;ECONOMÍA PARA LA GESTIÓN (ING);ECONOMÍA PARA LA GESTIÓN;42EF40;EN;ECONOMIA Y NEGOCIOS INTERNACIONALES;ELECTIVO;04;3;0;2/05/2016;EDALVARE;;;3;2382;2639;14;2442;266;2096;725;10564;401;345;0;375;0;256;84;1461;142;120;0;278;0;540;259;225;0;97;0;581;136;109;0;51;0;296;11.65283019;11.50423729;;14.34876543;;12.5019443
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN220;ALGORITMOS;ALGORITMOS;42IN220;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;04;3;0;2/05/2016;EDALVARE;10/07/2019;EDALVARE;3;971;936;390;0;0;0;0;2297;570;632;2;0;0;0;0;1204;267;349;1;0;0;617;303;283;1;0;0;587;148;145;0;0;0;293;12.68009479;13.11088296;13.5;;;13.09699258
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN219;ADMINISTRACIÓN PARA INGENIEROS;ADMINISTRACIÓN PARA INGEN;42IN219;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;04;3;0;2/05/2016;EDALVARE;8/05/2017;JAGUILAR;3;571;621;390;508;786;597;997;4470;415;444;4;344;266;457;393;2323;335;399;4;313;251;1302;80;45;0;31;15;171;24;18;0;21;5;68;14.01790281;14.98826291;13.75;15.08049536;15.31800766;14.63093375
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);MA462;FÍSICA II;FÍSICA II;42MA462;MA;CIENCIAS;OBLIGATORIO;04;6;0;2/05/2016;EDALVARE;6/03/2019;JOLIVARE;6;475;575;2;412;13;559;30;2066;334;434;0;317;2;449;10;1546;290;395;0;282;2;969;44;39;0;35;0;118;7;11;0;17;0;35;15.09785933;16.00472813;;15.63;16;15.68314686
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);MA145;ESTADÍSTICA APLICADA II;ESTADÍSTICA APLICADA II;42MA145;MA;CIENCIAS;OBLIGATORIO;04;4;0;2/05/2016;EDALVARE;1/06/2019;JILEON;4;424;515;1;502;6;539;39;2026;351;414;1;423;1;440;18;1648;244;317;1;362;1;925;107;97;0;61;0;265;19;29;0;27;0;75;13.46385542;14.2987013;13;15.0479798;13;13.7621073
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);MA264;ECUACIONES DIFERENCIALES Y ÁLGEBRA LINEAL;ECUACIONES DIFERENCIALES;42MA264;MA;CIENCIAS;OBLIGATORIO;04;6;0;2/05/2016;EDALVARE;12/05/2020;JAGUILAR;6;517;604;2;503;4;590;25;2245;439;520;1;431;0;487;11;1889;327;422;1;401;0;1151;112;98;0;30;0;240;11;29;0;24;0;64;13.62616822;14.68635438;15;16.94348894;;15.06400289
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN214;MECÁNICA PARA INGENIEROS;MECÁNICA PARA INGENIEROS;42IN214;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;05;5;0;2/05/2016;EDALVARE;;;5;629;602;0;656;0;483;0;2370;491;465;0;540;0;391;0;1887;316;288;0;439;0;1043;175;177;0;101;0;453;68;81;0;41;0;190;13.56264775;13.5234375;;14.60320641;;13.89643056
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN222;TERMODINÁMICA APLICADA;TERMODINÁMICA APLICADA;42IN222;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;05;4;0;2/05/2016;EDALVARE;10/12/2018;MVALLE;4;425;505;0;0;0;0;0;930;369;383;0;0;0;0;0;752;244;205;0;0;0;449;125;178;0;0;0;303;29;61;0;0;0;90;13.24411765;12.69875776;;;;12.97143771
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN176;COSTEO DE OPERACIONES;COSTEO DE OPERACIONES;42IN176;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;05;4;0;2/05/2016;EDALVARE;;;4;545;566;1;594;8;574;274;2562;408;423;0;424;2;453;244;1954;301;327;0;308;1;937;107;96;0;116;1;320;37;29;0;51;0;117;13.99460916;13.7025641;;14.32707775;12.5;13.63106275
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN172;INVESTIGACIÓN DE OPERACIONES 1;INVESTIGACIÓN DE OPE 1;42IN172;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;05;3;0;2/05/2016;EDALVARE;;;3;743;677;2;0;0;0;0;1422;601;524;0;0;0;0;0;1125;329;280;0;0;0;609;272;244;0;0;0;516;160;156;0;0;0;316;12.92517007;13.03804348;;;;12.98160677
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN92;HERRAMIENTAS DE CALIDAD;HERRAMIENTAS DE CALIDAD;42IN92;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;05;3;0;2/05/2016;EDALVARE;10/10/2019;JOLIVARE;3;437;354;0;460;0;468;0;1719;344;295;0;368;0;380;0;1387;318;286;0;343;0;947;26;9;0;25;0;60;6;3;0;21;0;30;15.24556213;15.19520548;;16.27089337;;15.57055366
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN147;INGENIERÍA DE MÉTODOS;INGENIERÍA DE MÉTODOS;42IN147;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;05;4;0;2/05/2016;EDALVARE;10/10/2019;JOLIVARE;4;456;352;0;480;0;457;0;1745;387;297;0;388;0;359;0;1431;347;252;0;370;0;969;40;45;0;18;0;103;10;14;0;16;0;40;14.5066313;14.17314488;;16.38172043;;15.02049887
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN96;GESTIÓN DE LA CALIDAD TOTAL;GESTIÓN DE LA CALIDAD TOT;42IN96;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;06;3;0;2/05/2016;EDALVARE;10/10/2019;JOLIVARE;3;264;368;0;355;0;398;0;1385;215;296;0;292;0;332;0;1135;210;286;0;279;0;775;5;10;0;13;0;28;3;4;0;12;0;19;15.46226415;15.53082192;;16.43928571;;15.81079059
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN173;INVESTIGACIÓN DE OPERACIONES 2;INVESTIGACIÓN DE OPE 2;42IN173;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;06;3;0;2/05/2016;EDALVARE;;;3;193;369;0;0;0;0;0;562;178;320;0;0;0;0;0;498;147;218;0;0;0;365;31;102;0;0;0;133;13;44;0;0;0;57;14.55151515;13.65942029;;;;14.10546772
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN177;OPERACIONES UNITARIAS;OPERACIONES UNITARIAS;42IN177;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;06;4;0;2/05/2016;EDALVARE;10/05/2017;JAGUILAR;4;350;424;0;369;0;568;0;1711;291;341;0;285;0;448;0;1365;169;250;0;224;0;643;122;91;0;61;0;274;27;44;0;25;0;96;12.51136364;13.81144781;;13.83076923;;13.38452689
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN215;PLANEAMIENTO Y CONTROL ESTRATÉGICO DE OPERACIONES;PLANEAMIENTO Y CONTROL ES;42IN215;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;06;4;0;2/05/2016;EDALVARE;10/10/2019;JOLIVARE;4;876;943;0;1010;0;912;0;3741;267;380;0;403;0;534;0;1584;248;314;0;369;0;931;19;66;0;34;0;119;10;11;0;29;0;50;14.59533074;13.90514905;;15.21122995;;14.57056991
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN175;CIENCIA Y TECNOLOGÍA DE MATERIALES;CIENCIA Y TECNOLOGÍA DE M;42IN175;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;06;4;0;2/05/2016;EDALVARE;10/10/2019;JOLIVARE;4;291;395;0;407;0;521;0;1614;236;312;0;313;0;371;0;1232;212;234;0;296;0;742;24;78;0;17;0;119;7;7;0;16;0;30;14.43668122;13.83278689;;15.5016835;;14.59038387
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);IN160;DISTRIBUCIÓN DE PLANTA;DISTRIBUCIÓN DE PLANTA;42IN160;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;06;4;0;2/05/2016;EDALVARE;10/10/2019;JOLIVARE;4;281;452;0;366;0;476;0;1575;203;363;0;273;0;377;0;1216;181;323;0;235;0;739;22;40;0;38;0;100;7;8;0;15;0;30;14.1377551;14.0056338;;14.18217054;;14.10851982
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);AD185;INTRAPRENEURSHIP;INTRAPRENEURSHIP;42AD185;IE;INICIATIVA EMPRESARIAL;ELECTIVO;06;3;0;2/05/2016;EDALVARE;;;3;1072;1284;0;1318;0;1563;5;5242;52;64;0;65;0;128;0;309;46;53;0;63;0;162;6;11;0;2;0;19;6;10;0;2;0;18;17.58695652;18.12962963;;18.20634921;;17.97431179
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);AD687;DESIGN THINKING;DESIGN THINKING;42AD687;IE;INICIATIVA EMPRESARIAL;ELECTIVO;06;3;0;2/05/2016;EDALVARE;;;3;1114;1326;0;1342;0;1578;5;5365;54;39;0;73;0;133;0;299;44;33;0;66;0;143;10;6;0;7;0;23;9;6;0;6;0;21;15.57777778;16.84848485;;17.7761194;;16.73412734
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);AH53;COACHING Y RESOLUCIÓN DE CONFLICTOS;COACHING Y RESOLUCIÓN DE;42AH53;AH;ADMINISTRACION Y RECURSOS HUMANOS;ELECTIVO;06;3;0;2/05/2016;EDALVARE;;;3;857;963;0;983;0;1096;2;3901;71;67;0;132;0;135;0;405;59;53;0;127;0;239;12;14;0;5;0;31;9;11;0;2;0;22;16.32258065;16.16363636;;17.47692308;;16.65438003
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);AD689;EMPRENDIMIENTO DE NEGOCIOS SOSTENIBLES IMPLEME.;EMPRENDIMIENTO DE NEGOCIO;42AD689;IE;INICIATIVA EMPRESARIAL;ELECTIVO;06;4;0;2/05/2016;EDALVARE;;;4;111;157;0;160;0;234;1;663;20;21;0;13;0;28;0;82;17;15;0;12;0;44;3;6;0;1;0;10;2;6;0;1;0;9;15.44444444;14.73333333;;16.83333333;;15.67037037
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);AD688;EMPRENDIMIENTO DE NEGOCIOS SOSTENIBLES: FORMULAC;EMPRENDIMIENTO DE NEGOCIO;42AD688;IE;INICIATIVA EMPRESARIAL;ELECTIVO;06;3;0;2/05/2016;EDALVARE;;;3;843;942;0;948;0;1097;1;3831;80;79;0;106;0;106;0;371;63;70;0;95;0;228;17;9;0;11;0;37;14;8;0;11;0;33;16.42424242;16.91549296;;17.29473684;;16.87815741
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);AD691;DIRECCIÓN ESTRATÉGICA;DIRECCIÓN ESTRATÉGICA;42AD691;AD;ADMINISTRACION;ELECTIVO;06;3;0;2/05/2016;EDALVARE;;;3;933;1070;0;1079;0;1294;2;4378;32;24;0;24;0;61;0;141;27;22;0;20;0;69;5;2;0;4;0;11;5;2;0;2;0;9;15.96296296;16.5;;15.31818182;;15.92704826
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);AH67;LIDERAZGO Y PENSAMIENTO SISTÉMICO;LIDERAZGO Y PENSAMIENTO S;42AH67;AH;ADMINISTRACION Y RECURSOS HUMANOS;ELECTIVO;06;3;0;2/05/2016;EDALVARE;;;3;1064;1247;0;1260;0;1462;5;5038;107;80;0;113;0;150;1;451;76;66;0;104;0;246;31;14;0;9;0;54;28;14;0;8;0;50;16.32911392;16.24242424;;15.87619048;;16.14924288
U;03310004;INGENIERÍA INDUSTRIAL;42;201502 - LU(desactivada);AH66;GESTIÓN DEL TALENTO;GESTIÓN DEL TALENTO;42AH66;AH;ADMINISTRACION Y RECURSOS HUMANOS;ELECTIVO;06;3;0;2/05/2016;EDALVARE;;;3;1111;1322;0;1344;0;1582;5;5364;57;67;0;74;0;131;0;329;46;52;0;68;0;166;11;15;0;6;0;32;8;12;0;6;0;26;16.2244898;16.25454545;;17.42647059;;16.63516861
