;COD_LINEA_NEGOCIO;COD_PRODUCTO;DESC_PRODUCTO;COD_CURRICULO;DESC_CURRICULO;COD_CURSO;DESC_CURSO;DESC_ABRE_CURSO;clave;COD_DIRECCION;NOM_DIRECCION;COD_CURSO_ELEC;CICLO;CANT_CREDITOS;CANT_CREDEQUIV;FECHA_CREACION;USUARIO_CREACION;FECHA_MODIFICACION;USUARIO_MODIFICACION;TOTAL CRED;REQUISITO;REQUISITO PYTHON;Ruta Critica
443;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;HU51;ANÁLISIS AMBIENTAL;ANÁLISIS AMBIENTAL;43HU51;HU;HUMANIDADES;ELECTIVO;5;3;0;2019-06-05 07:49:07;JAGUILAR;2019-06-05 16:14:04;;3;;;0.0
444;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;EF40;ECONOMÍA PARA LA GESTIÓN (ING);ECONOMÍA PARA LA GESTIÓN;43EF40;EN;ECONOMIA Y NEGOCIOS INTERNACIONALES;ELECTIVO;5;3;0;2019-06-05 07:49:07;JAGUILAR;2019-06-14 10:13:38;;3;;;0.0
445;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN220;ALGORITMOS;ALGORITMOS;43IN220;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;3;3;0;2019-06-05 07:49:07;JAGUILAR;2019-06-06 09:09:58;JILEON;3;;;0.0
446;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;MA264;ECUACIONES DIFERENCIALES Y ÁLGEBRA LINEAL;ECUACIONES DIFERENCIALES;43MA264;MA;CIENCIAS;OBLIGATORIO;4;6;0;2019-06-05 07:49:07;JAGUILAR;2019-06-05 07:52:57;JAGUILAR;6;;;0.0
447;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;MA145;ESTADÍSTICA APLICADA II;ESTADÍSTICA APLICADA II;43MA145;MA;CIENCIAS;OBLIGATORIO;4;4;0;2019-06-05 07:49:07;JAGUILAR;2019-06-05 07:52:57;JAGUILAR;4;;;0.0
448;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;MA462;FÍSICA II;FÍSICA II;43MA462;MA;CIENCIAS;OBLIGATORIO;4;6;0;2019-06-05 07:49:07;JAGUILAR;2019-06-05 07:52:57;JAGUILAR;6;;;0.0
449;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN219;ADMINISTRACIÓN PARA INGENIEROS;ADMINISTRACIÓN PARA INGEN;43IN219;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;2;3;0;2019-06-05 07:49:07;JAGUILAR;2019-06-05 11:07:59;JAGUILAR;3;;;0.0
450;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN172;INVESTIGACIÓN DE OPERACIONES 1;INVESTIGACIÓN DE OPE 1;43IN172;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;5;3;0;2019-06-05 07:49:07;JAGUILAR;2019-06-05 07:52:57;JAGUILAR;3;;;0.0
451;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN176;COSTEO DE OPERACIONES;COSTEO DE OPERACIONES;43IN176;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;3;4;0;2019-06-05 07:49:07;JAGUILAR;2019-06-05 11:17:13;JAGUILAR;4;;;0.0
452;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;AD185;INTRAPRENEURSHIP;INTRAPRENEURSHIP;43AD185;IE;INICIATIVA EMPRESARIAL;ELECTIVO;6;3;0;2019-06-05 07:49:07;JAGUILAR;;;3;;;0.0
453;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;AD687;DESIGN THINKING;DESIGN THINKING;43AD687;IE;INICIATIVA EMPRESARIAL;ELECTIVO;6;3;0;2019-06-05 07:49:07;JAGUILAR;;;3;;;0.0
454;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;AD688;EMPRENDIMIENTO DE NEGOCIOS SOSTENIBLES: FORMULAC;EMPRENDIMIENTO DE NEGOCIO;43AD688;IE;INICIATIVA EMPRESARIAL;ELECTIVO;6;3;0;2019-06-05 07:49:07;JAGUILAR;;;3;;;0.0
455;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;AD689;EMPRENDIMIENTO DE NEGOCIOS SOSTENIBLES IMPLEME.;EMPRENDIMIENTO DE NEGOCIO;43AD689;IE;INICIATIVA EMPRESARIAL;ELECTIVO;6;4;0;2019-06-05 07:49:07;JAGUILAR;;;4;;;0.0
456;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;AD690;ESTRATEGIAS DE NEGOCIACIÓN;ESTRATEGIAS DE NEGOCIACIÓ;43AD690;AD;ADMINISTRACION;ELECTIVO;6;3;0;2019-06-05 07:49:07;JAGUILAR;;;3;;;0.0
457;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;AH66;GESTIÓN DEL TALENTO;GESTIÓN DEL TALENTO;43AH66;AH;ADMINISTRACION Y RECURSOS HUMANOS;ELECTIVO;6;3;0;2019-06-05 07:49:07;JAGUILAR;;;3;;;0.0
458;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;AH67;LIDERAZGO Y PENSAMIENTO SISTÉMICO;LIDERAZGO Y PENSAMIENTO S;43AH67;AH;ADMINISTRACION Y RECURSOS HUMANOS;ELECTIVO;6;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
459;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;AD691;DIRECCIÓN ESTRATÉGICA;DIRECCIÓN ESTRATÉGICA;43AD691;AD;ADMINISTRACION;ELECTIVO;6;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
460;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;AH53;COACHING Y RESOLUCIÓN DE CONFLICTOS;COACHING Y RESOLUCIÓN DE;43AH53;AH;ADMINISTRACION Y RECURSOS HUMANOS;ELECTIVO;6;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
461;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN316;MODELAMIENTO Y DISEÑO ORIENTADA A OBJETOS;MODELAMIENTO Y DISEÑO ORI;43IN316;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;4;2;0;2019-06-05 09:36:31;JAGUILAR;2019-06-12 16:00:57;JAGUILAR;2;;;0.0
462;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN173;INVESTIGACIÓN DE OPERACIONES 2;INVESTIGACIÓN DE OPE 2;43IN173;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;6;3;0;2019-06-05 07:49:08;JAGUILAR;2019-06-05 07:52:57;JAGUILAR;3;;;0.0
463;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN315;DIBUJO ASISTIDO POR EL COMPUTADOR;DIBUJO ASISTIDO POR EL CO;43IN315;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;2;4;0;2019-06-05 09:35:27;JAGUILAR;;;4;;;0.0
464;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;IN318;SOFTWARE PARA INGENIEROS;SOFTWARE PARA INGENIEROS;43IN318;IN;INGENIERIA INDUSTRIAL;OBLIGATORIO;5;2;0;2019-06-05 10:14:18;JAGUILAR;;;2;;;0.0
465;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;HU372;MODERN POPULAR CULTURE;MODERN POPULAR CULTURE;43HU372;HU;HUMANIDADES;ELECTIVO;6;2;0;2019-06-05 07:49:08;JAGUILAR;;;2;;;0.0
466;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;HU373;INTRODUCTION TO SOCIOLOGY;INTRODUCTION TO SOCIOLOGY;43HU373;HU;HUMANIDADES;ELECTIVO;6;2;0;2019-06-05 07:49:08;JAGUILAR;;;2;;;0.0
467;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;HU374;INTRODUCTION TO PHILOSOPHY;INTRODUCTION TO PHILOSOPH;43HU374;HU;HUMANIDADES;ELECTIVO;6;2;0;2019-06-05 07:49:08;JAGUILAR;;;2;;;0.0
468;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;HU375;INTER EXP: SUST. QUAL OF LIFE IN THE CITY;INTERDISCIPLINARY EXPERIE;43HU375;HU;HUMANIDADES;ELECTIVO;6;2;0;2019-06-05 07:49:08;JAGUILAR;;;2;;;0.0
469;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;HU394;HUMANITIES THROUGH THE ARTS;HUMANITIES THROUGH THE AR;43HU394;HU;HUMANIDADES;ELECTIVO;6;2;0;2019-06-05 07:49:08;JAGUILAR;;;2;;;0.0
470;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;TR195;CHINO BÁSICO 1;CHINO BÁSICO 1;43TR195;TR;TRADUCCION E INTERPRETACION PROFESIONAL;ELECTIVO;6;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
471;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;TR194;LATÍN;LATÍN;43TR194;TR;TRADUCCION E INTERPRETACION PROFESIONAL;ELECTIVO;6;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
472;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;TR189;PORTUGUÉS BÁSICO;PORTUGUÉS;43TR189;TR;TRADUCCION E INTERPRETACION PROFESIONAL;ELECTIVO;6;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
473;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;TR193;ACADEMIC WRITING;ACADEMIC WRITING;43TR193;TR;TRADUCCION E INTERPRETACION PROFESIONAL;ELECTIVO;6;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
474;U;3310004;INGENIERÍA INDUSTRIAL;43;Malla Nueva Ingresantes 201902;TR224;FRANCÉS BÁSICO 1;FRANCÉS BÁSICO 1;43TR224;TR;TRADUCCION E INTERPRETACION PROFESIONAL;ELECTIVO;6;3;0;2019-06-05 07:49:08;JAGUILAR;;;3;;;0.0
